uid,Titre en anglais,Titre en Japonais,Editeurs,Numéro de série,Date,Main Category,Sub Category
8e5932ac-e7a5-40e0-b2da-8f6a73ee604d,Nobunaga Kou Ki,信長公記,やのまん / 天下布武 ビットタウン / Yanoman / Bit Town,SHVC-NT,1993-01-29,Strategy,
4349d78b-a9a1-4b45-b5e5-c90542a53a2e,Nobunaga no Yabou - Haouden,信長の野望 覇王伝,光栄 / Koei,SHVC-NK,1993-12-09,Strategy,
eab864be-8b91-4687-8cec-baed88b3e9ac,Nobunaga no Yabou - Tenshouki,信長の野望 天翔記,光栄 / Koei,SHVC-AN6J-JPN,1996-01-26,Strategy,
f86ada18-3e0a-45cc-b3e1-70f8b7dbd95c,Nomark Baku Haitou - Shijou Saikyou no Jakushi Tatsu,ノーマーク爆牌党 史上最強の雀士達,エンジェル / Angel,SHVC-AAPJ-JPN,1995-09-29,Table Game,Mahjong
77cf861b-0396-4e1c-8270-e2dd21c2786c,Nontan to Issho: Kuru Kuru Puzzle,ノンタンといっしょ くるくるぱずる,ビクターエンタテインメント / Victor Entertainment,SHVC-99,1994-11-25,Puzzle,Matching
81423375-a337-4e5b-9911-219e80b69769,Nosferatu,ノスフェラトゥ,セタ / Seta,SHVC-NS / SNS-NS,1994-10-07 / 1995-10-01,Platformer,
288f5c22-6b05-4bae-b772-f1ad1393fef8,Numbers Paradise,ナンバーズパラダイス,"アクレイムジャパン / イスコ, デジタルウェア / Acclaim Japan / ISCO, Digital Weare",SHVC-AN7J-JPN,1996-08-30,Gambling,
dbd91d3d-0600-4b30-948d-cbf60550ed2c,Oda Nobunaga - Haou no Gundan,織田信長 覇王の軍団,エンジェル / Angel,SHVC-ON,1993-02-26,Strategy,
318922b4-73e5-4fe5-95c1-688ecdc8c99d,Odekake Lester - Lelele no Le (^^; - Lester the Unlikely,おでかけレスターれれれのれ(^^;,アスミック / Asmik,SHVC-07 / SNS-LY,1994-09-16,Aventure,
a2c709ff-7a90-4ce9-92cc-6fe881c345e5,Oekaki Logic,お絵かきロジック,世界文化社 / マリーガルマネジメント / Sekai Bunka Publishing / Marigul Management,SHVC-BORJ-JPN,1999-06-01,Puzzle,Picross
122c7e47-13c9-4428-bcfb-2dfcede03cd0,Oekaki Logic 2,お絵かきロジック2,世界文化社 / マリーガルマネジメント / Sekai Bunka Publishing / Marigul Management,SHVC-BOSJ-JPN,1999-11-01,Puzzle,Picross
7f67977a-c31f-42bb-a945-48229534fd08,Ohmono Black Bass Fishing - Jinzouko Hen,大物ブラックバスフィッシング 人造湖編,アクレイムジャパン / ナツメ / Acclaim Japan / Natsume,SHVC-AOAJ-JPN / SNS-AOAE-USA,1995-06-30,Sports,Pêche
3b523db2-328d-4cee-a6be-7c456bf8e688,Okamoto Ayako to Match Play Golf - Ko Olina Golf Club In Hawaii,岡本綾子とマッチプレイゴルフ コ・オリナゴルフクラブ in ハワイ,ツクダオリジナル / Tsukuda Original,SHVC-OG,1994-12-21,Sports,Golf
388e68c5-b590-446f-8e7b-1d39ec7e9edd,Olivia's Mystery,オリビアのミステリー,アルトロン / Altron,SHVC-ZY,1994-02-04,Puzzle,
47d9a815-6905-410e-bbe8-106b5d759b1b,Ongaku Tsukuru Kanadeeru,音楽ツクールかなでーる,アスキー / サクセス / ASCII / Success,SHVC-ZMCJ-JPN,1996-04-12,Art,Musique
fa3e37c2-2d32-493d-b15a-de8be67fb3e6,Onita Atsushi FMW,大仁田厚 FMW,ポニーキャニオン / Pony Canyon,SHVC-OA-(R98V5946),1993-08-06,Sports,Wrestling
2e32a4e3-30aa-4bdb-bf91-fa3934491c04,Onizuka Katsuya Super Virtual Boxing,鬼塚勝也スーパーヴァーチャルボクシング 〜真拳闘王伝説〜,ソフエル / Sofel,SHVC-OV,1993-11-26,Sports,Boxing
5b8b2793-1b61-430e-9902-144be8509fbe,Oraga Land Shusai: Best Farmer Shuukaku Sai,おらがランド主催 ベストファーマー収穫祭,ビック東海 / Vic Tokai / Nitto,SHVC-ACUJ-JPN,1995-03-17,Puzzle,
627008ac-ba46-4bb6-a243-3aef1361d95b,Ossu!! Karate-bu,押忍！！空手部,カルチャーブレーン / Culture Brain,SHVC-OJ,1994-08-26,Fighting,Versus
a806990c-b540-4efc-b4d2-54cf287b73ff,Othello World,オセロワールド,ツクダオリジナル / ダイス / Tsukuda Original / Dice,SHVC-TO,1992-04-05,Table Game,Othello
368da55e-0347-4fff-85d6-49dc69de70f1,Otoboke Ninja Colosseum,おとぼけ忍者コロシアム,インテック / ミント / Intec / Mint,SHVC-AOCJ-JPN,1995-02-25,Puzzle,Bomberman
8b0fcb97-91c0-46d1-af45-773e9141ead1,Otogirisou,弟切草,チュンソフト / Chun Soft,SHVC-OT,1992-03-07,Sound Novel,Horror
73229914-bee7-4d48-83eb-a031a1484694,Ouchan no Oekaki Logic,おーちゃんのお絵かきロジック,サンソフト（サン電子） / Sunsoft (Sun Electronics),SHVC-AOUJ-JPN,1995-12-01,Puzzle,Picross
8227cb85-874a-4669-bd64-410f338cf08b,Outer World (Another World),アウター・ワールド,"ビクター音楽産業 / Victor Musical Industries / Interplay, Delphine Software",SHVC-TW,1992-11-27,Aventure,
b0e08da7-1360-4359-85e9-545a27eaeda4,P-Man,P・マン,ケムコ（コトブキシステム） / Kemco / Titus,SHVC-APUJ-JPN / SNS-APUE-USA,1995-06-23,Platformer,
04494558-b733-4e9a-9c5e-24ee70910e63,Pac-In-Time,パックインタイム,ナムコ / Namcot,SHVC-APTJ-JPN / SNS-APTE-USA,1995-01-03 / 1995-01-01,Platformer,
ff2efdca-084f-41ea-9e47-175ccbd7b247,Pachi Slot Kenkyuu,パチスロ研究,魔法株式会社（魔法ソフト） / Magical Company,SHVC-77,1994-07-15,Gambling,Pachinko
9910e3a8-bd5b-4feb-8322-22df3847d17f,Pachi Slot Shoubushi,ギャンブラー パチスロ勝負師,日本物産（ニチブツ） / Nihon Bussan (Nichibutsu),SHVC-AGAJ-JPN,1994-12-23,Gambling,Pachinko
43758b5d-31a1-4b66-9f53-be7dc9ef1286,Pachi-Slot Kanzen Kouryaku - Universal Shindai Nyuuka Volume 1,パチスロ完全攻略 ユニバーサル新台入荷 Volume 1,日本シスコン / Nihon Syscom,SHVC-AUYJ-JPN,1997-03-07,Gambling,Pachinko
3860f4aa-4b78-4492-94c8-403e0512e931,Pachi-Slot Land - Pachi Pachi Coin no Densetsu,パチスロランド ぱちぱちコインの伝説,カロッツェリアジャパン / Carrozzeria Japan,SHVC-7P,1994-02-25,Gambling,Pachinko
66a4cb57-c4ed-4179-a7ca-9bf62e15f899,Pachi-Slot Love Story,ラブストーリー パチスロ,ココナッツ・ジャパン / Coconuts Japan,SHVC-P5,1993-11-19,Gambling,Pachinko
dd7ba1d5-598c-43d0-b3a0-c04d68442fee,Pachi-Slot Monogatari - PAL Kougyou Special,パチスロ物語 パル工業スペシャル,"日本ソフトシステム, ケイエスエス / Nihon Soft System, KSS",SHVC-A2WJ-JPN,1995-10-27,Gambling,Pachinko
ed5aba3a-925c-41f1-ac3b-ae280fa97984,Pachi-Slot Monogatari - Universal Special,パチスロ物語 ユニバーサル・スペシャル,ケイエスエス / KSS,SHVC-9K,1994-07-29,Gambling,Pachinko
1e10fdf4-a2a2-4a5e-891b-432534806b90,Pachinko Challenger,パチンコチャレンジャーV,カロッツェリアジャパン / Carrozzeria Japan,SHVC-APVJ-JPN,1995-07-07,Gambling,Pachinko
51a2ff63-ea5f-4a24-9373-c9e0acba6e1c,Pachinko Fan - Shouri Sengen,パチンコファン 勝利宣言,プランニングオフィスワダ（パウ） / Planning Office WADA (POW),SHVC-APSJ-JPN,1994-10-15,Gambling,Pachinko
